Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
House,HF1549,3,03/07/2019,,,Edelson,"School-linked mental health grants delivered by telemedicine funding provided, report required, and money appropriated."
House,HF1505,3,03/21/2019,,,Dehn,"Summit Academy OIC GED and employment program funding provided, and money appropriated."
House,HF1464,3,03/21/2019,,,Lippert,"Youthprise Opportunity Reboot initiative grant funding provided, and money appropriated."
House,HF1415,3,03/13/2019,,,Youakim,"Teacher licensure requirements modified, Professional Educator Licensing and Standards Board composition modified, background check requirements modified, rulemaking authorized, and technical changes made."
House,HF1390,3,03/11/2019,,,Moller,"Individualized education program requirements modified to permit reporting of student performance on assessments, and rulemaking authorized."
House,HF1380,3,03/27/2019,,,Kunesh-Podein,"Teacher preparation funding directed, report required, and money appropriated."
House,HF1369,3,03/25/2019,,,Christensen,Public schools required to maintain monthly utility consumption data.
House,HF1343,3,02/25/2019,,,Morrison,Sunscreen possession and use at school provided.
House,HF1289,3,03/13/2019,,,Her,Education; prior written notice working group established.
House,HF1233,3,02/21/2019,,,"Xiong, T.","Alternative teacher preparation program grant eligibility modified, and money appropriated."
House,HF1220,3,02/27/2019,,,Koegel,"Head Start program governing requirements amended, and technical and clarifying changes made."
House,HF1129,3,03/04/2019,,,Marquart,"Agricultural educator grants funding provided, and money appropriated."
House,HF1111,3,03/18/2019,,,Hassan,Postsecondary education enrollment options eligibility clarified.
House,HF0907,3,02/11/2019,,,Lee,"After-school community learning program funding provided, report required, and money appropriated."
House,HF0839,3,04/03/2019,,,Huot,"School board vacancy filling process amended, and appointee to a vacancy allowed to serve remainder of unexpired term."
House,HF0566,3,03/11/2019,,,Wazlawik,"School safety assessment teams required, and money appropriated."
House,HF0444,3,01/31/2019,,,Gruenhagen,Charter schools renting property from private individuals exempted from property tax.
House,HF0431,3,02/07/2019,,,Albright,Alternative fire drills for schools and education institutions authorized.
House,HF0280,3,01/24/2019,,,Lucero,Firearms; permitted and trained school staff allowed to carry firearms.
House,HF0250,3,01/31/2019,,,Kunesh-Podein,"Sexual assault; affirmative consent instruction in schools required, and money appropriated."
House,HF0244,3,01/31/2019,,,Claflin,School districts required to conduct radon testing.
House,HF0163,3,02/18/2019,,,Youakim,School board vacancy technical changes made.
House,HF0125,3,01/31/2019,,,Bennett,"Education finance; evidence-based grant standard established for any legislative grants awarded to organizations for prekindergarten through grade 12 education programs, and report required."
House,HF0105,3,01/22/2019,,,Lucero,Resident tuition and state student aid provisions modified.
House,HF0016,3,01/17/2019,,,Urdahl,Small school revenue calculation modified.
House,HF2748,2,03/28/2019,,,Acomb,"Energy conservation improvements in schools loan fund established, and money appropriated."
House,HF2742,2,03/27/2019,,,Youakim,Community education revenue program funding increased.
House,HF2673,2,03/21/2019,,,Youakim,"Local option aid revenue increased, and future local option revenue increases linked to general education basic formula allowance growth."
House,HF2669,2,04/05/2019,,,Hassan,"School performance report requirements modified, advisory task force established, and money appropriated."
House,HF2650,2,03/22/2019,,,Marquart,"Public finance; sections modified governing bonds, drainage lien interest, school and private activity bonds notice requirements, transportation bonds, and municipal bankruptcy."
